danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.446,0.97,-5.004,0.0508,0.00754,0.000275,0.199,0.595,94.233,2SrVGpjv0mqCR6j9EZPSm2,363587
0.311,0.658,-13.529,0.0406,0.0706,0.104,0.093,0.353,151.813,3ZuVfQriS93y6ofwbIf7lp,314720
0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,51TG9W3y9qyO8BY5RXKgnZ,246733
0.3,0.936,-5.399,0.0456,0.0337,0.021,0.158,0.756,133.065,3wFGRek61NIF330UwJCI52,271907
0.314,0.959,-4.657,0.0908,0.0263,0.000148,0.161,0.492,154.221,1HM7Vp84E4SMzdrZONg6bH,309640
0.508,0.912,-8.049,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,5qFxuUIAwJlzO60vqOiL7y,252693
0.361,0.631,-9.215,0.0356,0.404,9.9e-05,0.0685,0.541,137.757,2CzKVfVA9U7OKbIpAVPZOk,347627
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,2SgbR6ttzoNlCRGQOKjrop,243533
0.368,0.917,-4.829,0.0772,0.147,0.000121,0.169,0.343,110.455,3vhKrSxe3fRuS5Ogis76VO,230760
0.456,0.865,-4.607,0.0585,0.00609,0.000544,0.237,0.608,140.067,3CspfYGpqAqgbRqUuxmW0r,94571
0.224,0.938,-6.907,0.408,0.00157,0.0765,0.106,0.327,203.79,2YTwVDQOSGclX2N3AKetOP,432547
0.397,0.852,-6.348,0.0344,0.00024,0.000282,0.228,0.506,96.064,4nvYDy427VvA1TcEkdgZII,292720
0.481,0.928,-8.799,0.0672,0.00022,0.558,0.106,0.427,96.699,6UB9mShVLbMm0W4e6vud4C,312360
0.464,0.612,-12.019,0.0591,0.116,0.00559,0.171,0.496,91.499,0W35nxtHtFlseSojmygEsf,474400
0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,240400
0.749,0.491,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,3vkQ5DAB1qQMYO4Mr9zJN6,292613
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693
0.384,0.438,-9.149,0.0362,0.753,0.0,0.101,0.287,87.903,5EQzuYfTZt7B2LqlvTF49l,456867
0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,0.535,112.067,4RvWPyQ5RL0ao9LPZeSouE,251489
0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,60a0Rd6pjrkxjPbaKzXjfq,216880
0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,222973
0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280
